PLAYER,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-
Nikola Jokic,3,42,12,20.3,59,1.3,3,44.4,8,9.3,85.7,2,12,14,9.3,3.3,0.3,1,3,33.3,6
Jamal Murray,3,42.5,10,19.7,50.8,2.7,7,38.1,3.3,3.7,90.9,1.7,5,6.7,10,3.7,1,0,2,26,7
Aaron Gordon,3,36,5.7,9,63,0.7,1,66.7,1,2.7,37.5,2,5.7,7.7,2.7,0,0.3,0.7,2,13,8
Bruce Brown,3,25.5,3,7,42.9,1.3,3,44.4,1.3,1.3,100,0.3,3.7,4,0.7,2.3,1,1,1.7,8.7,7.7
Christian Braun,3,14.2,3.3,4,83.3,0,0.3,0,0.3,0.3,100,1,1,2,1.7,1,1.3,0,1.7,7,3
Michael Porter Jr.,3,30.3,2.7,10.3,25.8,1,6.3,15.8,0.7,0.7,100,1.7,7,8.7,0.3,0.3,0,0.7,1,7,5.3
Kentavious Caldwell-Pope,3,33.6,1.7,5.3,31.3,0.7,3,22.2,2.3,3,77.8,0.3,2.7,3,1,1,0.7,0.3,3.3,6.3,1
Jeff Green,3,14.8,1.7,2,83.3,0.3,0.3,100,2,2,100,0.3,0.3,0.7,0.7,0.3,0,0,1,5.7,1
Peyton Watson,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Jackson,1,1.4,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,-2
Thomas Bryant,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vlatko Cancar,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeke Nnaji,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
