PLAYER,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-
Bam Adebayo,3,40.3,9.3,20,46.7,0,0.3,0,4.3,5,86.7,3.3,9.7,13,4,1.3,0,1,3.3,23,-3
Jimmy Butler,3,39.6,8,19,42.1,1.3,3.7,36.4,3.3,3.7,90.9,2,2.3,4.3,6.7,1.3,0.3,0.7,1,20.7,-8.3
Gabe Vincent,3,33.8,5.7,12,47.2,3.3,7.3,45.5,1.7,2,83.3,0.3,0.3,0.7,2.7,0.7,1.3,0.3,2.7,16.3,2
Kyle Lowry,3,26.2,3.3,6.7,50,2,4.3,46.2,1,1,100,0,2.7,2.7,4.3,2,1,0,2.7,9.7,-5.7
Duncan Robinson,3,17.5,2.7,5.7,47.1,2,4.7,42.9,0,0.3,0,0,0.7,0.7,0.7,0.3,0,0,2,7.3,-4.7
Haywood Highsmith,3,10.7,2.3,3.3,70,0.7,1.3,50,0.7,0.7,100,0.7,0.3,1,0,0.3,0.7,0.3,1.7,6,-6.7
Kevin Love,2,19.1,2,7,28.6,2,5.5,36.4,0,0,0,1.5,4.5,6,0.5,0,1,0,1,6,4
Max Strus,3,24.8,1.7,9,18.5,1.7,7.7,21.7,0.7,1,66.7,0.7,3,3.7,4.7,0,0.3,0.7,1.3,5.7,-3
Caleb Martin,3,25.8,2,6.3,31.6,1.3,3,44.4,0,0,0,1,3,4,1.3,1,1.3,0.7,2.7,5.3,-7.3
Cody Zeller,3,7.1,0.7,1,66.7,0,0,0,0,0,0,0.3,0.7,1,0,0.7,0,0,1.7,1.3,-5
Nikola Jovic,2,1,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5
Omer Yurtseven,2,0.9,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5
Udonis Haslem,1,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
