"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Nikola Jokic","Den","C","28.3","15","38.9","31.6","14.3","102","0.784","261","0.552","57","0.474","0.58","0.619","29.9","13.3","10.3","1.1","0.9","3.5","43.2","40.2","53.5","16.5","127.3","105.1"
"2","Jimmy Butler","Mia","F","33.7","17","39.3","30.3","9.1","155","0.806","291","0.509","59","0.356","0.513","0.579","28.5","7","5.7","2.1","0.6","2.1","35.5","34.2","41.2","10.6","120.5","110"
"3","Jamal Murray","Den","G","26.3","15","39.1","28.8","9.4","67","0.925","201","0.527","118","0.398","0.553","0.595","27.7","5.5","6.1","1.7","0.3","2.2","33.1","33.8","39.3","10","119.3","111.3"
"4","Bam Adebayo","Mia","C-F","25.9","18","35.6","23.1","16.8","74","0.797","246","0.496","2","0","0.492","0.54","16.8","9.2","3.8","1","0.6","2.8","26","20.7","29.8","9.4","106.6","104.8"
"5","Michael Porter Jr.","Den","F","24.9","15","33.8","16.8","3.8","21","0.81","73","0.521","103","0.408","0.574","0.591","14.6","8","1.8","0.7","0.6","0.5","22.6","16.4","24.4","7","122.1","108.5"
"6","Caleb Martin","Mia","F","27.7","18","30.7","16.1","9.8","33","0.818","77","0.714","89","0.438","0.684","0.704","14.1","5.7","1.7","0.8","0.3","1","19.8","15.8","21.5","6.7","132.3","107.9"
"7","Gabe Vincent","Mia","G","27","17","31.2","19.4","12.4","28","0.893","86","0.43","105","0.39","0.516","0.546","13.1","1.7","3.9","0.8","0.2","1.6","14.8","16.9","18.6","5.7","108.9","107.9"
"8","Aaron Gordon","Den","F","27.7","15","35.6","15.6","10.3","54","0.704","110","0.536","37","0.351","0.534","0.571","13","5.5","2.5","0.5","0.7","1.1","18.5","15.5","21","6.3","122.1","111.2"
"9","Bruce Brown","Den","G-F","26.8","15","26.4","18.1","10.3","38","0.895","92","0.63","38","0.289","0.573","0.624","12.2","3.9","2.2","1.1","0.3","1","16.1","14.4","18.3","7.1","123.3","105.7"
"10","Tyler Herro","Mia","G","23.4","1","19.5","23","10","0","0","5","0.6","4","0.5","0.667","0.667","12","2","2","0","1","1","14","14","16","7.5","119.4","113.2"
"11","Kentavious Caldwell-Pope","Den","G","30.3","15","33.3","13.4","7.7","22","0.864","58","0.569","73","0.411","0.595","0.622","11.7","3.2","1.6","1.3","0.5","0.7","14.9","13.3","16.5","4.7","123","111.1"
"12","Victor Oladipo","Mia","G","31.1","2","22.7","22","9.5","3","0.333","14","0.571","5","0.4","0.579","0.566","11.5","3.5","1","1","0.5","1","15","12.5","16","6","103.9","103"
"13","Max Strus","Mia","G-F","27.2","18","29","13.7","3.3","21","0.81","43","0.674","103","0.359","0.579","0.599","10.3","3.3","1","0.4","0.2","0.3","13.6","11.3","14.6","4.5","122.4","110.5"
"14","Duncan Robinson","Mia","F","29.1","18","18","20.4","11.1","7","1","36","0.528","92","0.446","0.629","0.641","9.3","1.6","1.7","0.4","0.1","0.9","10.9","11.1","12.6","6.5","117.4","109.6"
"15","Kyle Lowry","Mia","G","37.2","18","25.2","17.3","18.7","24","0.917","72","0.486","62","0.355","0.507","0.546","8.8","3.4","4.3","1.1","0.7","1.7","12.2","13.1","16.4","8","108.8","104.8"
"16","Kevin Love","Mia","F-C","34.7","16","18","17.3","9.5","15","0.867","27","0.407","68","0.368","0.511","0.541","6.9","5.8","1.4","0.4","0.3","0.6","12.7","8.3","14.1","8.5","111.9","100.9"
"17","Jeff Green","Den","F","36.8","15","18.6","10.5","11.6","13","0.846","27","0.481","26","0.269","0.443","0.494","3.9","1.9","0.7","0.3","0.5","0.5","5.8","4.6","6.5","3.7","102.1","105.3"
"18","Haywood Highsmith","Mia","F","26.5","13","9.7","11.1","3.3","3","0.667","17","0.647","12","0.5","0.69","0.693","3.2","1.5","0.4","0.6","0.1","0.1","4.8","3.6","5.2","5.1","145.1","102.7"
"19","Cody Zeller","Mia","F-C","30.6","16","9.2","14.8","26.1","15","0.4","31","0.581","0","0","0.581","0.559","2.6","2.7","0.4","0.1","0.2","0.7","5.3","3","5.7","6.1","96.4","97.8"
"20","Christian Braun","Den","G","22.1","14","11.8","10.6","19.9","10","0.6","19","0.526","9","0.222","0.464","0.494","2.3","2.1","0.4","0.4","0.1","0.5","4.4","2.6","4.7","4.2","97.7","102.2"
"21","DeAndre Jordan","Den","C","34.9","3","3.5","24.8","38.3","2","0.5","3","0.667","0","0","0.667","0.644","1.7","1.3","0.3","0","0","0.7","3","2","3.3","10","",""
"22","Zeke Nnaji","Den","F-C","22.4","4","2.9","18.9","20","0","0","1","1","3","0.333","0.625","0.625","1.3","0.5","0","0.3","0","0.3","1.8","1.3","1.8","0","",""
"23","Peyton Watson","Den","G","20.7","4","3.3","20.1","16.7","0","0","3","0.333","2","0.5","0.5","0.5","1.3","1","0.3","0","0.3","0.3","2.3","1.5","2.5","8.9","",""
"24","Omer Yurtseven","Mia","C","24.9","6","2.3","22.4","14.3","0","0","5","0.4","1","0","0.333","0.333","0.7","0.7","0.2","0","0.2","0.2","1.3","0.8","1.5","8","",""
"25","Reggie Jackson","Den","G","33.1","5","3.3","5.3","50","0","0","0","0","1","1","1.5","1.5","0.6","0.2","0.2","0.2","0","0.2","0.8","0.8","1","3.5","",""
"26","Ish Smith","Den","G","34.9","4","3","7.5","0","0","0","2","0.5","0","0","0.5","0.5","0.5","0.3","0.3","0","0","0","0.8","0.8","1","4.7","",""
"27","Nikola Jovic","Mia","F","20","5","2.1","12.7","0","0","0","1","1","2","0","0.333","0.333","0.4","0.8","0","0","0","0","1.2","0.4","1.2","0","",""
"28","Vlatko Cancar","Den","F","26.1","4","2.4","23.1","0","0","0","1","0","4","0","0","0","0","0.8","0.3","0","0","0","0.8","0.3","1","0","",""
"29","Udonis Haslem","Mia","F","43","1","2.5","35.8","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","",""
